specimenBiophysicalType,preservationType,fmaAnatomicSourceLocation,pathologicalStatus,diseaseStatus,CtepStudyID,CollectionProtocolStatus,ProtocolCategory,SpecimenCount
"Biofluid, Other",Frozen,Effusion,Not Specified,Other/Not Specified,ABTR01B1,Active,Biopathology and Translational Research,17
"Biofluid, Other",Frozen,Effusion,Not Specified,Other/Not Specified,AEWS0031,Complete,Ewing Sarcoma,2
"Biofluid, Other",Frozen,Effusion,Not Specified,Other/Not Specified,AHOD0031,Complete,Hodgkin Disease,10
"Biofluid, Other",Frozen,Effusion,Not Specified,Other/Not Specified,AOST0331,Closed To Accrual And Intervention,Osteosarcoma,6
"Biofluid, Other",Frozen,Effusion,Not Specified,Other/Not Specified,AOST06B1,Active,Osteosarcoma,9
"Biofluid, Other",Frozen,Effusion,Not Specified,Other/Not Specified,CCG-1882,Complete,Acute Lymphoblastic Leukemia,1
"Biofluid, Other",Frozen,Effusion,Not Specified,Other/Not Specified,CCG-1901,Complete,Acute Lymphoblastic Leukemia,31
"Biofluid, Other",Frozen,Effusion,Not Specified,Other/Not Specified,CCG-5941,Complete,Non-Hodgkin Lymphoma,5
"Biofluid, Other",Frozen,Effusion,Not Specified,Other/Not Specified,CCG-B903,Complete,Unknown/Unspecified,10
"Biofluid, Other",Frozen,Effusion,Not Specified,Other/Not Specified,CCG-B944,Complete,Hodgkin Disease,5
"Biofluid, Other",Frozen,Effusion,Not Specified,Other/Not Specified,CCG-B947,Complete,Unknown/Unspecified,15
"Biofluid, Other",Frozen,Effusion,Not Specified,Other/Not Specified,CCG-E15,Complete,Acute Lymphoblastic Leukemia,32
"Biofluid, Other",Frozen,Effusion,Not Specified,Other/Not Specified,POG-9047,Complete,Non-Hodgkin Lymphoma,2
"Biofluid, Other",Frozen,Effusion,Not Specified,Pre-Therapy,AALL0434,Closed To Accrual,Acute Lymphoblastic Leukemia,15
"Biofluid, Other",Frozen,Effusion,Not Specified,Pre-Therapy,AALL07P1,Complete,Acute Lymphoblastic Leukemia,2
"Biofluid, Other",Frozen,Effusion,Not Specified,Pre-Therapy,ABTR01B1,Active,Biopathology and Translational Research,33
"Biofluid, Other",Frozen,Effusion,Not Specified,Pre-Therapy,CCG-5961,Complete,Non-Hodgkin Lymphoma,10
"Biofluid, Other",Frozen,Effusion,Not Specified,Pre-Therapy,CCG-B944,Complete,Hodgkin Disease,10
"Biofluid, Other",Frozen,Effusion,Not Specified,Pre-Therapy,CCG-B947,Complete,Unknown/Unspecified,11
"Biofluid, Other",Frozen,Fluid,Not Specified,On Therapy,A3961,Complete,Neuroblastoma,1
"Biofluid, Other",Frozen,Fluid,Not Specified,On Therapy,AALL01B1,Administratively Complete,Acute Lymphoblastic Leukemia,1
"Biofluid, Other",Frozen,Fluid,Not Specified,On Therapy,AALL0331,Closed To Accrual,Acute Lymphoblastic Leukemia,1
"Biofluid, Other",Frozen,Fluid,Not Specified,On Therapy,AALL03B1,Complete,Acute Lymphoblastic Leukemia,1
"Biofluid, Other",Frozen,Fluid,Not Specified,On Therapy,ANBL00B1,Active,Neuroblastoma,3
