collectionDate,specimenBiophysicalType,preservationType,fmaAnatomicSourceLocation,pathologicalStatus,diseaseStatus,collectionInstitution,CtepStudyID,SpecimenCount
2014-01-02,Tissue,Frozen,Not Specified,Metastatic,Therapeutic Relapse,Memorial Healthcare System - Joe DiMaggio Children's Hospital,ANBL0532,1
2014-06-04,Buffy Coat,Cryopreserved,Blood,Non-Malignant,Pre-Therapy,Centre Hospitalier Universitaire Sainte-Justine,ANHL1131,2
2014-03-03,Tissue,Frozen,Not Specified,Malignant,Pre-Therapy,Riley Hospital for Children,ANBL12P1,2
2004-05-07,RNA,Frozen,Not Specified,Not Specified,Pre-Therapy,New York Medical College,CCG-B947,1
2000-08-04,Tissue Slide,Fixed-Formalin,Lymph Node,Malignant,Pre-Therapy,University of Nebraska Medical Center,CCG-B944,1
2010-08-26,Tissue Slide,Fixed-Formalin,Not Specified,Malignant,Other/Not Specified,Centre Hospitalier Universitaire Sainte-Justine,ANBL00B1,30
2012-05-10,DNA,Frozen,Bone Marrow,Not Specified,On Therapy,New York University Langone Medical Center,AALL0932,2
2007-03-08,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,On Therapy,Saint Vincent Hospital and Health Services,AALL03B1,2
2011-03-07,Buffy Coat,Cryopreserved,Blood,Non-Malignant,Pre-Therapy,UCSF Medical Center-Mission Bay,AALL08B1,1
2009-01-23,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,Therapeutic Relapse,Rady Children's Hospital - San Diego,AALL0331,1
2007-07-18,Tissue Slide,Fixed-Formalin,Not Specified,Malignant,Other/Not Specified,Midwest Children's Cancer Center,AHOD0431,2
2001-04-06,Tissue Slide,Fixed-Formalin,Not Specified,Malignant,Other/Not Specified,University of Oklahoma Health Sciences Center,ANBL00B1,20
2012-08-29,Serum,Frozen,Blood,Not Specified,Pre-Therapy,Children's Hospital Colorado,ABTR01B1,1
2011-03-30,Tissue,Frozen,Not Specified,Malignant,Pre-Therapy,Nemours Children's Hospital,ARST0531,1
2012-08-09,Tissue,Frozen,Not Specified,Malignant,Pre-Therapy,Columbia Regional,ABTR01B1,1
2013-03-12,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,On Therapy,University of Rochester,AALL1131,1
2012-12-17,Serum,Frozen,Blood,Not Specified,Pre-Therapy,Children's Hospital and Medical Center of Omaha,AREN03B2,2
2009-12-10,DNA,Frozen,Bone Marrow,Not Specified,On Therapy,Kosair Children's Hospital,AALL03B1,1
2009-01-13,Tissue Slide,Fixed-Formalin,Not Specified,Malignant,Other/Not Specified,Penn State Hershey Children's Hospital,AEWS07B1,6
2007-11-06,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,Therapeutic Relapse,University of Kentucky/Markey Cancer Center,AALL02P2,12
2011-06-17,DNA,Frozen,Bone Marrow,Not Specified,On Therapy,Childrens Hospital of Orange County,AALL03B1,1
2002-01-14,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,Other/Not Specified,Sanford USD Medical Center - Sioux Falls,CCG-B947,6
2001-06-11,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,Therapeutic Relapse,Methodist Children's Hospital of South Texas,CCG-B947,5
1996-03-29,Tissue Slide,Fixed-Formalin,Not Specified,Malignant,Other/Not Specified,Alfred I duPont Hospital for Children,CCG-5942,4
2010-01-11,Tissue Slide,Fixed-Formalin,Not Specified,Malignant,Other/Not Specified,Children's Hospital and Medical Center of Omaha,ANBL00B1,21
2014-11-14,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,On Therapy,Loma Linda University Medical Center,AALL08B1,1
2015-04-09,Buffy Coat,Cryopreserved,Blood,Non-Malignant,Pre-Therapy,Rhode Island Hospital,AEWS1031,1
2009-09-09,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,On Therapy,Hospital for Sick Children,AALL0434,1
