specimenBiophysicalType	preservationType	fmaAnatomicSourceLocation	pathologicalStatus	diseaseStatus	CtepStudyID	CollectionProtocolStatus	ProtocolCategory	Race	SpecimenCount
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AALL02P2	Closed To Accrual And Intervention	Acute Lymphoblastic Leukemia	White	4
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AALL0331	Closed To Accrual	Acute Lymphoblastic Leukemia	White	3
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AALL03B1	Complete	Acute Lymphoblastic Leukemia	Asian Indian, Pakistani	15
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AALL03B1	Complete	Acute Lymphoblastic Leukemia	Black	24
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AALL03B1	Complete	Acute Lymphoblastic Leukemia	Other	11
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AALL03B1	Complete	Acute Lymphoblastic Leukemia	Unknown	3
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AALL03B1	Complete	Acute Lymphoblastic Leukemia	White	187
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AALL0434	Closed To Accrual	Acute Lymphoblastic Leukemia	White	15
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AALL05B1	Active	Acute Lymphoblastic Leukemia	White	3
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AALL06N1	Active	Acute Lymphoblastic Leukemia	Asian Indian, Pakistani	15
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AALL06N1	Active	Acute Lymphoblastic Leukemia	Black	20
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AALL06N1	Active	Acute Lymphoblastic Leukemia	Other	11
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AALL06N1	Active	Acute Lymphoblastic Leukemia	Unknown	3
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AALL06N1	Active	Acute Lymphoblastic Leukemia	White	163
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AALL07P2	Complete	Acute Lymphoblastic Leukemia	White	1
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AAML00P2	Complete	Acute Myeloid Leukemia	White	1
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AAML03P1	Complete	Acute Myeloid Leukemia	White	10
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AAML0523	Complete	Acute Myeloid Leukemia	White	8
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AAML0531	Complete	Acute Myeloid Leukemia	Black	6
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AAML0531	Complete	Acute Myeloid Leukemia	White	4
